tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
2024-12-14-000webhost-admin-v999.9.9.zip,2024-12-14-000webhost-admin-v999.9.9,,4.913892200497799,0.40453405151334904,0,1,0,0,0
2024-12-14-000webhost-analytics-v999.9.9.zip,2024-12-14-000webhost-analytics-v999.9.9,,4.921350021289508,0.39045911574683284,0,1,0,0,0
2024-12-14-000webhost-api-v999.9.9.zip,2024-12-14-000webhost-api-v999.9.9,,4.9153044352870445,0.4122531941701404,0,1,0,0,0
2024-12-14-000webhost-api-client-v999.9.9.zip,2024-12-14-000webhost-api-client-v999.9.9,,4.926650612552824,0.4041031669530673,0,1,0,0,0
2024-12-14-000webhost-auth-v999.9.9.zip,2024-12-14-000webhost-auth-v999.9.9,,4.915845538704821,0.3969587781386308,2,1,0,0,0
2024-12-14-000webhost-cache-v999.9.9.zip,2024-12-14-000webhost-cache-v999.9.9,,4.91306549862167,0.3981603614026991,0,1,0,0,0
2024-12-14-000webhost-checkout-v999.9.9.zip,2024-12-14-000webhost-checkout-v999.9.9,,4.935193110381763,0.39617512879753997,0,1,0,0,0
2024-12-14-000webhost-cloud-v999.9.9.zip,2024-12-14-000webhost-cloud-v999.9.9,,4.920820819718799,0.39985817039296473,0,1,0,0,0
2024-12-14-000webhost-connect-v999.9.9.zip,2024-12-14-000webhost-connect-v999.9.9,,4.90701126888872,0.3972306583201895,0,1,0,0,0
2024-12-14-000webhost-database-v999.9.9.zip,2024-12-14-000webhost-database-v999.9.9,,4.932428454889895,0.41831549706542437,0,1,0,0,0
2024-12-25-0vulns-dependency-confusion-poc-v1.0.0.zip,2024-12-25-0vulns-dependency-confusion-poc-v1.0.0,,5.403746741048733,0.13468910374879117,2,0,0,0,0
2025-05-04-0x-smart-contracts-v99.99.99.zip,2025-05-04-0x-smart-contracts-v99.99.99,,5.031666565429995,0.37760966908945626,0,1,0,0,0
2025-02-17-1password-sdk-examples-v1.0.0.zip,2025-02-17-1password-sdk-examples-v1.0.0,,4.968366605926559,0.42035258972737566,1,1,0,0,0
2025-01-09-1password-sdk-exapmles-v1.0.0.zip,2025-01-09-1password-sdk-exapmles-v1.0.0,,3.6848216171135424,2.1577501232682557,1,1,0,0,0
2024-12-15-32red-admin-v999.9.9.zip,2024-12-15-32red-admin-v999.9.9,,4.89282467995846,0.4292581908226005,0,1,0,0,0
2024-12-15-32red-analytics-v999.9.9.zip,2024-12-15-32red-analytics-v999.9.9,,4.904176247494348,0.4157915187045501,0,1,0,0,0
2024-12-15-32red-api-v999.9.9.zip,2024-12-15-32red-api-v999.9.9,,4.901420133456664,0.4452612764835236,0,1,0,0,0
2024-12-15-32red-api-client-v999.9.9.zip,2024-12-15-32red-api-client-v999.9.9,,4.911465878127194,0.43264580579754386,0,1,0,0,0
2024-12-15-32red-auth-v999.9.9.zip,2024-12-15-32red-auth-v999.9.9,,4.914367735311955,0.4409159826799997,2,1,0,0,0
2024-12-15-32red-cache-v999.9.9.zip,2024-12-15-32red-cache-v999.9.9,,4.912670994610598,0.44479883450077545,0,1,0,0,0
